,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Princes Park,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Victoria Park,W.A.C.A.,Waverley Park,Wellington,Western Oval,York Park
Adelaide,0,1163,1163,1599,2128,654,555,0,1602,7580,628,654,959,2620,2134,654,1163,1163,2134,1163,1331,654,2134,654,3222,654,1040
Brisbane,1602,1791,733,71,1391,1376,1414,1602,0,7343,1437,1376,945,2850,3610,1376,733,733,3610,733,1965,1376,3610,1376,2509,1376,1644
Carlton,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Collingwood,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Essendon,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Fremantle,2134,3014,3294,3628,3445,2725,2624,2134,1658,7058,2676,2725,3092,2656,0,2725,3294,3294,0,3294,1994,2725,0,2725,5264,2725,2966
Geelong,628,583,779,1407,2368,65,79,628,1437,8081,0,65,532,3158,2676,65,779,779,2676,779,1892,65,2676,65,2614,65,436
Gold Coast,1599,1743,684,0,1462,1344,1387,1599,71,7414,1407,1344,904,2914,3628,1344,684,684,3628,684,2011,1344,3628,1344,2441,1344,1598
GW Sydney,1163,1059,0,684,1963,714,782,1163,733,7890,779,714,247,3152,3294,714,0,0,3294,0,2030,714,3294,714,2228,714,915
Hawthorn,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Melbourne,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
North Melbourne,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Port Adelaide,0,1163,1163,1599,2128,654,555,0,1602,7580,628,654,959,2620,2134,654,1163,1163,2134,1163,1331,654,2134,654,3222,654,1040
Richmond,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
St Kilda,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
Sydney,1163,1059,0,684,1963,714,782,1163,733,7890,779,714,247,3152,3294,714,0,0,3294,0,2030,714,3294,714,2228,714,915
West Coast,2134,3014,3294,3628,3445,2725,2624,2134,1658,7058,2676,2725,3092,265,0,2725,3294,3294,0,3294,1994,2725,0,2725,5264,2725,2966
Western Bulldogs,654,599,714,1344,2327,0,102,654,1376,8064,65,0,467,3151,2725,0,714,714,2725,714,1892,0,2725,0,2575,0,444
